iter	Passed	Remaining
897	3341	379
898	3344	375
899	3349	372
900	3352	368
901	3355	364
902	3358	360
903	3361	356
904	3365	353
905	3369	349
906	3372	345
907	3375	342
908	3378	338
909	3382	334
910	3385	330
911	3389	327
912	3392	323
913	3395	319
914	3399	315
915	3403	312
916	3406	308
917	3409	304
918	3412	300
919	3416	297
920	3419	293
921	3422	289
922	3425	285
923	3429	282
924	3432	278
925	3435	274
926	3438	270
927	3441	267
928	3446	263
929	3450	259
930	3453	255
931	3456	252
932	3460	248
933	3465	244
934	3469	241
935	3473	237
936	3477	233
937	3483	230
938	3491	226
939	3497	223
940	3503	219
941	3509	216
942	3515	212
943	3522	208
944	3526	205
945	3533	201
946	3541	198
947	3546	194
948	3553	190
949	3556	187
950	3559	183
951	3562	179
952	3565	175
953	3570	172
954	3573	168
955	3576	164
956	3579	160
957	3582	157
958	3586	153
959	3589	149
960	3592	145
961	3595	142
962	3599	138
963	3602	134
964	3606	130
965	3609	127
966	3613	123
967	3617	119
968	3620	115
969	3623	112
970	3627	108
971	3630	104
972	3634	100
973	3638	97
974	3642	93
975	3647	89
976	3651	85
977	3654	82
978	3658	78
979	3661	74
980	3665	70
981	3669	67
982	3672	63
983	3675	59
984	3679	56
985	3682	52
986	3685	48
987	3688	44
988	3692	41
989	3695	37
990	3698	33
991	3702	29
992	3705	26
993	3708	22
994	3712	18
995	3715	14
996	3718	11
997	3722	7
998	3725	3
999	3729	0
