iter	Logloss
0	0.6868023536
1	0.6808158648
2	0.6743657506
3	0.6687139064
4	0.6634352766
5	0.6577400087
6	0.6519716492
7	0.6468846976
8	0.6421033739
9	0.6381658803
10	0.6338928139
11	0.6294213618
12	0.6251407403
13	0.6215096789
14	0.6179576732
15	0.6149595229
16	0.611866698
17	0.6084999676
18	0.6058661438
19	0.6027569684
20	0.6002923972
21	0.5972605318
22	0.5944663614
23	0.5918958279
24	0.589561103
25	0.5869473145
26	0.5844336556
27	0.5825325035
28	0.5803492128
29	0.5782851209
30	0.5762842557
31	0.5747098063
32	0.5729168846
33	0.5711904462
34	0.5695865462
35	0.5679903087
36	0.5666799464
37	0.5650538086
38	0.5638634094
39	0.5624200108
40	0.5608260541
41	0.5596331385
42	0.5584159565
43	0.5572109567
44	0.5559422078
45	0.5550571836
46	0.5538991668
47	0.5527845046
48	0.5517851583
49	0.5506888075
50	0.5497437637
51	0.5488661672
52	0.5479390706
53	0.5471160752
54	0.5462410346
55	0.5454241261
56	0.5446689008
57	0.5439789292
58	0.5431957368
59	0.5424789111
60	0.5417404533
61	0.5410845178
62	0.5405422128
63	0.5399360117
64	0.5393021179
65	0.5388784644
66	0.538377596
67	0.5378770259
68	0.5373044202
69	0.5367264464
70	0.536292163
71	0.5358610415
72	0.5352401034
73	0.5346793892
74	0.5342083391
75	0.5337003583
76	0.5334223544
77	0.5330327883
78	0.5325201092
79	0.5321592629
80	0.5316765471
81	0.5310953651
82	0.5305794595
83	0.5301122972
84	0.5297065395
85	0.5293482456
86	0.5290462174
87	0.5287710786
88	0.528403813
89	0.5280319816
90	0.5277136993
91	0.5274157509
92	0.5271263843
93	0.5268725257
94	0.5264531104
95	0.5261337249
96	0.5258071749
97	0.5255755127
98	0.5253218818
99	0.5251610529
100	0.5248205322
101	0.5245120953
102	0.5240540782
103	0.5236649068
104	0.5233639433
105	0.5230805373
106	0.5228717595
107	0.5225043014
108	0.5222134146
109	0.5219520988
110	0.5217706472
111	0.5214352469
112	0.5211630662
113	0.5209962514
114	0.5207793066
115	0.520474867
116	0.5201718523
117	0.5199731059
118	0.5198199431
119	0.5196145208
120	0.5193287261
